административный		        administrative
власть				              power
вооруженные силы		        armed forces
внешняя политика            foreign policy
внутренняя политика		      domestic policy
выполнять                   fulfill
выборы                      elections
выступать против законопр.	oppose a bill
ветвь	                      branch
глава                       head
гос. награда			          state honour
гражданский			            civil
главнокомандующий		        commander-in-chief
голосовать                  vote
дело				                case
депутат\заместитель		      deputy
исполнительный			        executive
избирать                    elect
уголовный                   criminal
защита\оборона			        defence
закон, принимать		        pass laws
законодательный			        legislative
назначать			              appoint
национальное собрание		    national assembly
нижняя\верхняя палата		    chamber upper\lower
общая юрисдикция, суд		    universalcourt
одобрять			              approve
палата представителей		    house of representatives
подписывать			            sign
помиловать			            grant pardon
представитель			          represent
предложение			            suggestion
предлагать			            propose
председатель			          chairman
противоречить			          contradict
правительство			          government
принадлежать чему\кому-то	  belong to
совет республики 		        council of the republic
совет безопасности 		      security council
состоять из			            be made up of
суд конституционный		      constitutional court
суд общей юрисдикции        universal court
судебный			              judicial
суверенитет			            sovereignty
целостность			            integrity
